,Unnamed: 0,Lat,Lng,PNODE_ID,Type,ISO,NodeLMP,NodeMCC,NodeMCE,Average MCC
49,6370,32.23751495052223,-108.54865634414664,PYGS_1_PYRAMID A4GNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/PYGS_1_PYRAMID A4GNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/PYGS_1_PYRAMID A4GNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/PYGS_1_PYRAMID A4GNODE/NodeMCE.png"" width=""200"" height=""120""/>",-59.539159687499996
50,6487,35.272229,-107.356793,REDMESA_1_REDMESAWFGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/REDMESA_1_REDMESAWFGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/REDMESA_1_REDMESAWFGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/REDMESA_1_REDMESAWFGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-74.3250740625
51,6518,35.17146086430088,-106.60192473314224,REEVES_1_REEVES1GNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/REEVES_1_REEVES1GNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/REEVES_1_REEVES1GNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/REEVES_1_REEVES1GNODE/NodeMCE.png"" width=""200"" height=""120""/>",-74.64585229166666
52,6519,35.17146086430088,-106.60214526685778,REEVES_1_REEVES2GNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/REEVES_1_REEVES2GNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/REEVES_1_REEVES2GNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/REEVES_1_REEVES2GNODE/NodeMCE.png"" width=""200"" height=""120""/>",-74.64585229166666
53,6520,35.171641135599224,-106.60214526710224,REEVES_1_REEVES3GNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/REEVES_1_REEVES3GNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/REEVES_1_REEVES3GNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/REEVES_1_REEVES3GNODE/NodeMCE.png"" width=""200"" height=""120""/>",-74.71634364583332
54,6521,35.168006,-106.600187,REEVES_1_REEVESPVGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/REEVES_1_REEVESPVGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/REEVES_1_REEVESPVGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/REEVES_1_REEVESPVGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-74.71634364583332
55,6583,35.361472,-106.855934,RIOPUERC_3_ENCINOPVGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/RIOPUERC_3_ENCINOPVGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/RIOPUERC_3_ENCINOPVGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/RIOPUERC_3_ENCINOPVGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-74.89901854166668
56,6875,36.80191599998678,-108.44229487317608,SANJUAN_3_SANJUAN1GNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/SANJUAN_3_SANJUAN1GNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/SANJUAN_3_SANJUAN1GNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/SANJUAN_3_SANJUAN1GNODE/NodeMCE.png"" width=""200"" height=""120""/>",-76.91696989583335
57,6876,36.80191599998678,-108.44240712682394,SANJUAN_3_SANJUAN4GNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/SANJUAN_3_SANJUAN4GNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/SANJUAN_3_SANJUAN4GNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/SANJUAN_3_SANJUAN4GNODE/NodeMCE.png"" width=""200"" height=""120""/>",-76.91696989583335
58,6980,35.183051,-106.810922,SCENIC_1_RIORANCHOPVGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/SCENIC_1_RIORANCHOPVGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/SCENIC_1_RIORANCHOPVGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/SCENIC_1_RIORANCHOPVGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-74.61844031249998
