,PNODE_ID,AS_ID,Type,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Lng,NodeLMP,NodeMCC,NodeMCE,Average MCC
115,LAJOLLA_6_N007,AS_SP15,LOAD,LJOLLA_6_LD30,22392_LA JOLLA_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,2144,32.84016059,-117.2754012,"<img src=""./data/SDGE_NODE_LMP_Plots/LAJOLLA_6_N007/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/LAJOLLA_6_N007/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/LAJOLLA_6_N007/SDGENodeMCE.png"" width=""200"" height=""120""/>",59.81621104166667
116,LASPLGS_6_N001,AS_NP15,LOAD,LASPLG_6_LD1,33376_LAS PLGS_60.0_LD1,22M7_DB114,2022-07-28 0:00:00,2054,33.31286664,-117.4671652,"<img src=""./data/SDGE_NODE_LMP_Plots/LASPLGS_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/LASPLGS_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/LASPLGS_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",26.6851028125
117,LASPULGS_6_N001,AS_SP26,LOAD,LPULGS_6_LD30,22400_LASPULGS_69.0_LD1,22M7_DB114,2022-07-28 0:00:00,2211,33.31283306,-117.4667796,"<img src=""./data/SDGE_NODE_LMP_Plots/LASPULGS_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/LASPULGS_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/LASPULGS_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",50.67853618055551
118,LILAC_6_N001,AS_SP26,LOAD,LILIAC_6_LD32,22405_LILACGEN_12.5_LD32,22M7_DB114,2022-07-28 0:00:00,2122,33.25332439,-117.0857127,"<img src=""./data/SDGE_NODE_LMP_Plots/LILAC_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/LILAC_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/LILAC_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",52.139202829861155
119,LILAC_6_N010,AS_SP26,LOAD,LILIAC_6_LD31,22405_LILACGEN_12.5_LD31,22M7_DB114,2022-07-28 0:00:00,2121,33.25334054,-117.0859586,"<img src=""./data/SDGE_NODE_LMP_Plots/LILAC_6_N010/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/LILAC_6_N010/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/LILAC_6_N010/SDGENodeMCE.png"" width=""200"" height=""120""/>",65.04023406249995
120,LOVELAND_6_N001,AS_SP26,LOAD,LVLAND_6_LD30,22416_LOVELAND_69.0_LD1,22M7_DB114,2022-07-28 0:00:00,2227,32.79704299,-116.7921812,"<img src=""./data/SDGE_NODE_LMP_Plots/LOVELAND_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/LOVELAND_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/LOVELAND_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",58.95273743055556
121,MELROSE_6_N001,AS_SP15,LOAD,MELRSE_6_LD30,22440_MELROSE _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,2327,33.20669687,-117.2529938,"<img src=""./data/SDGE_NODE_LMP_Plots/MELROSE_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MELROSE_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MELROSE_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",49.09020788194452
122,MELROSE_6_N004,AS_SP26,LOAD,MELRSE_6_LD33,22440_MELROSE _69.0_LD33,22M7_DB114,2022-07-28 0:00:00,2330,33.20637034,-117.2527908,"<img src=""./data/SDGE_NODE_LMP_Plots/MELROSE_6_N004/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MELROSE_6_N004/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MELROSE_6_N004/SDGENodeMCE.png"" width=""200"" height=""120""/>",83.63505173611118
123,MELROSE_6_N005,AS_SP26,LOAD,MELRSE_6_LD32,22440_MELROSE _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,2329,33.20633634,-117.2532469,"<img src=""./data/SDGE_NODE_LMP_Plots/MELROSE_6_N005/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MELROSE_6_N005/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MELROSE_6_N005/SDGENodeMCE.png"" width=""200"" height=""120""/>",55.73611307291671
124,MELROSE_6_N009,AS_SP15,LOAD,MELRSE_6_LD31,22440_MELROSE _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2328,33.20664369,-117.2525929,"<img src=""./data/SDGE_NODE_LMP_Plots/MELROSE_6_N009/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MELROSE_6_N009/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MELROSE_6_N009/SDGENodeMCE.png"" width=""200"" height=""120""/>",49.09020788194452
