PNODE_ID,AS_ID,RES_TYPE,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Long
SHADOWR_1_N008,AS_SP26,LOAD,SHRDGE_1_LD40,22760_SHADOWR _138_LD40,22M7_DB114,2022-07-28 0:00:00,4535,33.14166179,-117.238825
SHADOWR_1_N008,AS_SP15,LOAD,SHRDGE_1_LD40,22760_SHADOWR _138_LD40,22M7_DB114,2022-07-28 0:00:00,4535,33.14166179,-117.238825
SNTAMRA_1_N001,AS_NP26,LOAD,SANMAR_1_LD3,36266_SNTA MRA_115_LD3,22M7_DB114,2022-07-28 0:00:00,3924,33.12847685,-117.1972897
SNTAMRA_1_N001,AS_SP15,LOAD,SANMAR_1_LD3,36266_SNTA MRA_115_LD3,22M7_DB114,2022-07-28 0:00:00,3924,33.12847685,-117.1972897
SNTAMRA_1_N005,AS_NP26,LOAD,SANMAR_1_LD2,36266_SNTA MRA_115_LD2,22M7_DB114,2022-07-28 0:00:00,3923,33.12871491,-117.1976226
SNTAMRA_1_N005,AS_SP15,LOAD,SANMAR_1_LD2,36266_SNTA MRA_115_LD2,22M7_DB114,2022-07-28 0:00:00,3923,33.12871491,-117.1976226
SONOFR2_7_B1,AS_SP26,GEN,SONGS_7_UNIT 2,24129_S.ONOFR2_22.0_GU2,22M7_DB114,2022-07-28 0:00:00,4670,33.36961903,-117.554133
SONOFR2_7_B1,AS_SP15,GEN,SONGS_7_UNIT 2,24129_S.ONOFR2_22.0_GU2,22M7_DB114,2022-07-28 0:00:00,4670,33.36961903,-117.554133
SONOFR3_7_B1,AS_SP15,GEN,SONGS_7_UNIT 3,24130_S.ONOFR3_22.0_GU3,22M7_DB114,2022-07-28 0:00:00,4671,33.36924838,-117.5533188
SONOFR3_7_B1,AS_SP26,GEN,SONGS_7_UNIT 3,24130_S.ONOFR3_22.0_GU3,22M7_DB114,2022-07-28 0:00:00,4671,33.36924838,-117.5533188
SONOFRE_2_N067,AS_SP26,LOAD,SONGS_2_LD-3XR,24131_S.ONOFRE_230_LDA3,22M7_DB114,2022-07-28 0:00:00,4668,33.3697053,-117.5545154
SONOFRE_2_N067,AS_SP15,LOAD,SONGS_2_LD-3XR,24131_S.ONOFRE_230_LDA3,22M7_DB114,2022-07-28 0:00:00,4668,33.3697053,-117.5545154
SPRNGVLY_6_N001,AS_SP26,LOAD,SPNGVY_6_LD30,22796_SPRNGVLY_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4701,32.739049,-117.00266
SPRNGVLY_6_N001,AS_SP15,LOAD,SPNGVY_6_LD30,22796_SPRNGVLY_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4701,32.739049,-117.00266
SPRNGVLY_6_N010,AS_SP15,LOAD,SPNGVY_6_LD31,22796_SPRNGVLY_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4702,32.739041,-117.002856
